date,game_id,season,home,away,p_home,p_elo,model,result
2024-10-22,2024020098,2024,NYI,DET,0.5857494419204948,0.5612510886609052,v1-backfill,0.0
2024-10-22,2024020099,2024,STL,WPG,0.4738367446091296,0.4988442150936232,v1-backfill,0.0
2024-10-22,2024020100,2024,CHI,VAN,0.382395004247275,0.4087741212770102,v1-backfill,0.0
2024-10-22,2024020101,2024,NSH,BOS,0.6055873379671765,0.4930859738387285,v1-backfill,1.0
2024-10-22,2024020102,2024,CGY,PIT,0.5817681981318916,0.5627532892767253,v1-backfill,1.0
2024-10-22,2024020103,2024,EDM,CAR,0.4538296802356497,0.5299054863324258,v1-backfill,0.0
2024-10-22,2024020104,2024,UTA,OTT,0.4651338312758046,0.535806288757742,v1-backfill,0.0
2024-10-22,2024020105,2024,ANA,SJS,0.6333802722623745,0.6042697428345849,v1-backfill,1.0
2024-10-22,2024020106,2024,SEA,COL,0.3741558624748796,0.4939295793274129,v1-backfill,0.0
2024-10-22,2024020107,2024,VGK,LAK,0.4803958331348224,0.5678600456770091,v1-backfill,1.0
2024-10-23,2024020108,2024,WSH,PHI,0.555550899207934,0.6007173260622517,v1-backfill,1.0
2024-10-24,2024020109,2024,BOS,DAL,0.5169154085303701,0.522373814165011,v1-backfill,0.0
2024-10-24,2024020110,2024,TOR,STL,0.6138437252850996,0.5841619273693006,v1-backfill,0.0
2024-10-24,2024020111,2024,DET,NJD,0.4938400789680472,0.5445832813645657,v1-backfill,1.0
2024-10-24,2024020112,2024,TBL,MIN,0.5797974237045413,0.5686857040320454,v1-backfill,0.0
2024-10-24,2024020113,2024,NYR,FLA,0.5541918374265083,0.5637755764413965,v1-backfill,0.0
2024-10-24,2024020114,2024,CGY,CAR,0.3803044505216625,0.4797518720195018,v1-backfill,0.0
2024-10-24,2024020115,2024,UTA,COL,0.3707453700347327,0.4650697119729838,v1-backfill,0.0
2024-10-24,2024020116,2024,SEA,WPG,0.4676412145017539,0.4620555934697893,v1-backfill,0.0
2024-10-24,2024020117,2024,LAK,SJS,0.7735806895178077,0.7027507321434869,v1-backfill,1.0
2024-10-25,2024020118,2024,VGK,OTT,0.5419779234001986,0.5985976095020458,v1-backfill,1.0
2024-10-25,2024020119,2024,NJD,NYI,0.3827896399874431,0.5523326126893656,v1-backfill,0.0
2024-10-25,2024020120,2024,CHI,NSH,0.3267549256671007,0.4387228645830645,v1-backfill,0.0
2024-10-25,2024020121,2024,EDM,PIT,0.6802219765015534,0.6099665291055715,v1-backfill,1.0
2024-10-26,2024020122,2024,BUF,DET,0.5576604432643553,0.5428920954399853,v1-backfill,1.0
2024-10-26,2024020123,2024,PHI,MIN,0.504934067798344,0.4709319823228762,v1-backfill,1.0
2024-10-26,2024020124,2024,LAK,UTA,0.597136561642743,0.6060254041043784,v1-backfill,1.0
2024-10-26,2024020125,2024,BOS,TOR,0.4445060431549858,0.5575500242327845,v1-backfill,1.0
2024-10-26,2024020126,2024,MTL,STL,0.4078876561555803,0.4638052308665874,v1-backfill,1.0
2024-10-26,2024020127,2024,TBL,WSH,0.6130208563832154,0.5740118574476465,v1-backfill,1.0
2024-10-26,2024020128,2024,NYR,ANA,0.7083905694306153,0.7158442518745817,v1-backfill,1.0
2024-10-26,2024020129,2024,CGY,WPG,0.5710503024521904,0.4799346748310529,v1-backfill,0.0
2024-10-26,2024020130,2024,NYI,FLA,0.4031390252165077,0.4533737877883665,v1-backfill,0.0
2024-10-26,2024020131,2024,NSH,CBJ,0.5930164503293255,0.6234776013893019,v1-backfill,1.0
2024-10-26,2024020132,2024,DAL,CHI,0.7873452058423243,0.7286780895150855,v1-backfill,1.0
2024-10-26,2024020133,2024,VAN,PIT,0.6277268620521166,0.6069346511831865,v1-backfill,1.0
2024-10-26,2024020134,2024,VGK,SJS,0.6708814750221237,0.7318553139632519,v1-backfill,1.0
2024-10-26,2024020135,2024,SEA,CAR,0.3382942985905535,0.4435469820543253,v1-backfill,0.0
2024-10-27,2024020136,2024,DET,EDM,0.2685397756969341,0.4878010776886982,v1-backfill,0.0
2024-10-27,2024020137,2024,NJD,ANA,0.7169147237094994,0.6267776317644231,v1-backfill,1.0
2024-10-27,2024020138,2024,PHI,MTL,0.6483124709793016,0.5703632916111343,v1-backfill,0.0
2024-10-27,2024020139,2024,COL,OTT,0.6355511811698978,0.6166726477496844,v1-backfill,1.0
2024-10-28,2024020140,2024,BUF,FLA,0.4303185305589172,0.4486156587649493,v1-backfill,0.0
2024-10-28,2024020141,2024,TBL,NSH,0.5196701500773837,0.5766369811383609,v1-backfill,1.0
2024-10-28,2024020142,2024,CBJ,EDM,0.3722448986020534,0.421156121381965,v1-backfill,1.0
2024-10-28,2024020143,2024,WPG,TOR,0.5015904667687091,0.5970710748504691,v1-backfill,0.0
2024-10-28,2024020144,2024,COL,CHI,0.681379780427456,0.7125814087221177,v1-backfill,0.0
2024-10-28,2024020145,2024,UTA,SJS,0.6981587608909947,0.6576535160725919,v1-backfill,0.0
2024-10-28,2024020146,2024,VAN,CAR,0.4407337171085697,0.5076230306203012,v1-backfill,0.0
2024-10-28,2024020147,2024,VGK,CGY,0.5601987289203684,0.5994278437194996,v1-backfill,1.0
2024-10-29,2024020148,2024,BOS,PHI,0.5216195276457337,0.6448129353920485,v1-backfill,0.0
2024-10-29,2024020149,2024,MTL,SEA,0.4238937326766235,0.5174055587770106,v1-backfill,0.0
2024-10-29,2024020150,2024,OTT,STL,0.573962169223865,0.5246821363580163,v1-backfill,1.0
2024-10-29,2024020151,2024,WSH,NYR,0.4056319598775479,0.457839938420018,v1-backfill,1.0
2024-10-29,2024020152,2024,NYI,ANA,0.6758568230181006,0.6322107685059322,v1-backfill,0.0
2024-10-29,2024020153,2024,PIT,MIN,0.5149241772988591,0.5093774756960361,v1-backfill,0.0
2024-10-29,2024020154,2024,SJS,LAK,0.2159109160019972,0.3789169087583811,v1-backfill,1.0
2024-10-30,2024020155,2024,CBJ,NYI,0.4797292121433836,0.5034180076281922,v1-backfill,1.0
2024-10-30,2024020156,2024,DET,WPG,0.3979584259815091,0.4664942969735254,v1-backfill,0.0
2024-10-30,2024020157,2024,COL,TBL,0.5598940160969387,0.559989929146169,v1-backfill,0.0
2024-10-30,2024020158,2024,UTA,CGY,0.4903514676513245,0.5061072451955324,v1-backfill,1.0
2024-10-30,2024020159,2024,VAN,NJD,0.5248697296803206,0.5995738500465664,v1-backfill,0.0
2024-10-30,2024020160,2024,LAK,VGK,0.4290553348425922,0.5109918874660404,v1-backfill,1.0
2024-10-31,2024020161,2024,TOR,SEA,0.6151750356573608,0.608070552784146,v1-backfill,1.0
2024-10-31,2024020162,2024,PHI,STL,0.5474645570494574,0.5028818815505578,v1-backfill,1.0
2024-10-31,2024020163,2024,PIT,ANA,0.6053727385950067,0.6105503362514083,v1-backfill,1.0
2024-10-31,2024020164,2024,WSH,MTL,0.6696146001440232,0.6237824545320255,v1-backfill,1.0
2024-10-31,2024020165,2024,CAR,BOS,0.6964709508124807,0.6045125992627958,v1-backfill,1.0
2024-10-31,2024020166,2024,NSH,EDM,0.5235952741042842,0.5055283587919773,v1-backfill,0.0
2024-10-31,2024020167,2024,SJS,CHI,0.4454835528509019,0.5133734358137896,v1-backfill,1.0
2024-11-01,2024020168,2024,DAL,FLA,0.5150558054202117,0.5331190314290997,v1-backfill,0.0
2024-11-01,2024020169,2024,BUF,NYI,0.4741698655437236,0.563490296650305,v1-backfill,0.0
2024-11-01,2024020170,2024,NYR,OTT,0.6217306200463835,0.6484676774343648,v1-backfill,1.0
2024-11-01,2024020171,2024,CBJ,WPG,0.4307282059668135,0.4148488968979728,v1-backfill,0.0
2024-11-01,2024020172,2024,MIN,TBL,0.5275030753155997,0.5296848116377774,v1-backfill,1.0
2024-11-01,2024020173,2024,CGY,NJD,0.5086161819197026,0.5381767028392006,v1-backfill,1.0
2024-11-02,2024020174,2024,FLA,DAL,0.498055788452988,0.5791741418116284,v1-backfill,1.0
2024-11-02,2024020175,2024,PHI,BOS,0.5428402943901269,0.4767997221471235,v1-backfill,0.0
2024-11-02,2024020176,2024,LAK,CHI,0.6707203698754701,0.6763080561486756,v1-backfill,0.0
2024-11-02,2024020177,2024,WSH,CBJ,0.6968283845242186,0.6252733683036789,v1-backfill,1.0
