date,game_id,week,season,home,away,p_home,p_elo,model,result,final_margin,sp_margin,sp_line,p_sp_elo,sp_ver,p_sp_m75,p_sp_m35,p_sp_m05,p_sp_p35,p_sp_p75,cal,pick_team,pick_side,pick_line,pick_p,pick_push,home_line,away_line,pick_p_win,pick_p_cover,mode_margin,mode_p,median_team,median_line,pick_rule,pick,pick_claim,pick_prob,pick_result,pick_held,k_-20.5,k_-13.5,k_-9.5,k_-6.5,k_-5.5,k_-2.5,k_+3.5,k_+6.5,k_+7.5,k_+10.5,k_+14.5,k_+21.5,mkt_line,mkt_books,mkt_books_total,mkt_agree,model_total,ref_total,ref_home_ml,ref_away_ml
2024-09-22,2024_03_CAR_LV,3,2024,LV,CAR,0.710727256271341,0.6864964252595108,v1-backfill,-14.0,-14.0,7.990586939245937,6.5,0.5695631157948158,3,0.9140192211153442,0.8254264309412267,0.710727256271341,0.5896666255897555,0.4524662303214846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_CHI_IND,3,2024,IND,CHI,0.6297860572762816,0.5988331216297088,v1-backfill,5.0,5.0,3.643832826342571,3.5,0.4619219149670877,3,0.8321461917188921,0.7338948054996601,0.6297860572762816,0.4857980814503422,0.3377114167458254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_DEN_TB,3,2024,TB,DEN,0.7942416947078629,0.6744593378191318,v1-backfill,-19.0,-19.0,9.127568906233495,7.5,0.5537336595180548,3,0.9229591380214556,0.8634327783826525,0.7942416947078629,0.6520754261843228,0.4933224846088694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_DET_ARI,3,2024,ARI,DET,0.4524652442369472,0.4726586145680889,v1-backfill,-7.0,-7.0,-1.6394414268366797,-2.5,0.3322673368187634,3,0.7275714481919067,0.5907788065777969,0.4524652442369472,0.318071896019584,0.1945159059352421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_GB_TEN,3,2024,TEN,GB,0.4431387250225615,0.4868788635976126,v1-backfill,-16.0,-16.0,-2.4403497225927646,-2.5,0.3415461070077771,3,0.6966615059072566,0.5675881141107489,0.4431387250225615,0.3108623473146553,0.1895506123809648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_HOU_MIN,3,2024,MIN,HOU,0.5339771118550265,0.6186763741851153,v1-backfill,27.0,27.0,1.70535229990036,1.5,0.4714918681539906,3,0.8024289929071715,0.6742972859444506,0.5339771118550265,0.4069427515340476,0.2782547734635496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_KC_ATL,3,2024,ATL,KC,0.3157848637995606,0.3691245614961138,v1-backfill,-5.0,-5.0,-6.218261836331407,-5.5,0.2407347632677267,3,0.5978051827172701,0.451267596060233,0.3157848637995606,0.205947808301342,0.1133271270931714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_LAC_PIT,3,2024,PIT,LAC,0.605612258802535,0.6499043643543617,v1-backfill,10.0,10.0,3.305604408815184,3.5,0.4970224311244214,3,0.8376942490433725,0.7277552444035885,0.605612258802535,0.4631494935225051,0.3182035488400616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_MIA_SEA,3,2024,SEA,MIA,0.6415998533282611,0.589447851239152,v1-backfill,21.0,21.0,3.3827043641223806,3.5,0.4392199440466926,3,0.8424552365983846,0.7457005344329171,0.6415998533282611,0.47808037825024,0.3169518940324797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_NYG_CLE,3,2024,CLE,NYG,0.6472645874113676,0.6518994689059656,v1-backfill,-6.0,-6.0,4.640035073033598,3.5,0.5050116131114023,3,0.8686826452765364,0.7664356854036674,0.6472645874113676,0.501421076392458,0.3506130551254474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_PHI_NO,3,2024,NO,PHI,0.6639630617947253,0.5596539627276914,v1-backfill,-3.0,-3.0,5.975886337274,4.5,0.4516306680398174,3,0.880949458294269,0.782008616953279,0.6639630617947253,0.5358062322843213,0.3960345370033422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_SF_LA,3,2024,LA,SF,0.3291187445780846,0.4899449031665559,v1-backfill,3.0,3.0,-5.104644548800588,-4.5,0.3312016612358445,3,0.6318533787311471,0.4774254053512466,0.3291187445780846,0.2224835369112132,0.1287951596923979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
