date,fight_id,event,A,B,p_win_a,p_elo,p_distance,p_a_ko,p_a_sub,p_a_dec,p_b_ko,p_b_sub,p_b_dec,model,result,went_dist,close,meth_pick,meth_p,meth_base,meth_hit
2026-04-18,bf147,UFC Fight Night: Burns vs. Malott,Jamey Lyn Horth,Jj Aldrich,0.5928429372690012,0.4904663101818035,0.646174244308255,0.1710648809004741,0.0768183328350208,0.344959723533506,0.0709342087486643,0.0350083332075855,0.301214520774749,v1-backfill,0.0,True,,,,,
2026-04-18,bf148,UFC Fight Night: Burns vs. Malott,Jamie Siraj,John Yannis,0.4936433468796447,0.5299486466941857,0.4552034188607967,0.128517652167966,0.1561056060241015,0.2090200886875772,0.1459302248818764,0.1142430980652594,0.2461833301732194,v1-backfill,0.0,False,,,,,
2026-04-25,bf149,UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling,Youssef Zalal,0.4891525778393056,0.6146557085903742,0.3878047894605329,0.1477155982988252,0.1060089724963466,0.2354280070441336,0.1871104967822953,0.1713601429619997,0.1523767824163993,v1-backfill,1.0,True,,,,,
2026-04-25,bf150,UFC Fight Night: Sterling vs. Zalal,Joselyne Edwards,Norma Dumont,0.512724738991155,0.4434989355218088,0.6551541639769378,0.1581233994015947,0.0757313850103712,0.278869954579189,0.0710048136262674,0.0399862379848287,0.3762842093977488,v1-backfill,1.0,True,,,,,
2026-04-25,bf151,UFC Fight Night: Sterling vs. Zalal,Alexander Hernandez,Rafa Garcia,0.458005036945032,0.5345866593494307,0.561481769210616,0.171809604820607,0.0326766491031083,0.2535187830213165,0.163442284966213,0.0705896918994554,0.3079629861892995,v1-backfill,0.0,True,,,,,
2026-04-25,bf152,UFC Fight Night: Sterling vs. Zalal,Adrian Luna Martinetti,Davey Grant,0.395075991243725,0.4435105935162691,0.5531520189818839,0.1018494860689034,0.1410812979504931,0.1521452072243285,0.1350165033096622,0.0689006936890573,0.4010068117575553,v1-backfill,0.0,True,,,,,
2026-04-25,bf153,UFC Fight Night: Sterling vs. Zalal,Montel Jackson,Raoni Barcelos,0.5719062999889406,0.5301579897616034,0.6472276344458835,0.1858432567169616,0.0469298961154991,0.3391331471564798,0.0758701339133408,0.0441290788083149,0.3080944872894036,v1-backfill,0.0,True,,,,,
2026-04-25,bf154,UFC Fight Night: Sterling vs. Zalal,Marcus Buchecha,Ryan Spann,0.4501104898593516,0.4193695486714953,0.3648998764747558,0.2266248703982017,0.0912400196570634,0.1322455998040864,0.176180244795549,0.1410549886744299,0.2326542766706694,v1-backfill,0.0,False,,,,,
2026-04-25,bf155,UFC Fight Night: Sterling vs. Zalal,Eric Mcconico,Rodolfo Vieira,0.4550965943090806,0.4193250852297011,0.4843147156939535,0.1299065841640028,0.0781470730190759,0.2470429371260018,0.1036962404517253,0.2039353866712423,0.2372717785679517,v1-backfill,1.0,True,,,,,
2026-04-25,bf156,UFC Fight Night: Sterling vs. Zalal,Jackson Mcvey,Sedriques Dumas,0.4071786513129693,0.4956358711102617,0.5263148698121668,0.1333998575716934,0.11243075906763,0.1613480346736458,0.1040651117538288,0.1237894017946808,0.3649668351385209,v1-backfill,1.0,False,,,,,
