date,game_id,home,away,p_home,p_home_elo,model,result
20260719,401857080,DAL,LA,0.6732626571091128,0.6582136054172967,v1.1-backfill,1.0
20260719,401857081,ATL,CHI,0.7530768386947873,0.7436192317457384,v1.1-backfill,1.0
20260719,401857082,PHX,CON,0.6410246472719001,0.6410692005666502,v1.1-backfill,1.0
20260720,401857083,TOR,LV,0.2102186255781329,0.3065065816825852,v1.1-backfill,0.0
20260720,401857084,GS,WSH,0.7387465473285405,0.7220941848289327,v1.1-backfill,0.0
20260720,401857085,SEA,MIN,0.267997728119128,0.3000921559922971,v1.1-backfill,0.0
20260720,401892393,DAL,NY,0.3718299534581878,0.599067499061704,v1.1-backfill,0.0
20260722,401857086,LA,PHX,0.5518315671349053,0.5862419613065312,v1.1-backfill,0.0
20260722,401857087,SEA,MIN,0.2028103353635683,0.2886113197670458,v1.1-backfill,0.0
20260722,401857088,NY,CHI,0.6934745533821883,0.7291327671377137,v1.1-backfill,1.0
20260722,401857089,WSH,LV,0.2428896500738754,0.4122256147352767,v1.1-backfill,1.0
20260722,401857090,IND,CON,0.8707081557159773,0.7595477629141139,v1.1-backfill,1.0
20260722,401857091,POR,DAL,0.3186718730287019,0.4527035227197584,v1.1-backfill,0.0
20260728,401857092,WSH,CON,0.6599062071960217,0.7056010761604183,v1.1,1.0
20260728,401857093,MIN,TOR,0.9102891962439816,0.8405560835428099,v1.1,1.0
20260728,401857094,SEA,IND,0.3126309429065782,0.3702776858785179,v1.1,0.0
20260728,401857095,LV,POR,0.876681746996942,0.8020493560765358,v1.1,1.0
20260728,401857096,LA,NY,0.4766739445359683,0.4736612041474521,v1.1,0.0
20260729,401857097,DAL,ATL,0.5627342081641719,0.5525697430893481,v1.1,0.0
20260729,401857098,PHX,GS,0.4349195997998323,0.4430495261400957,v1.1,1.0
20260730,401857099,TOR,MIN,0.1536775127953904,0.2687514256999488,v1.1,0.0
20260730,401857100,CHI,CON,0.6818779340641149,0.5988224867678298,v1.1,1.0
20260730,401857101,LV,NY,0.6261620397601091,0.6721257581001441,v1.1,1.0
20260731,401857102,ATL,SEA,0.797184907452971,0.7820073067394016,v1.1,1.0
20260731,401857103,WSH,DAL,0.3956638670004611,0.5662926433205374,v1.1,1.0
20260731,401857104,POR,IND,0.1863910652887614,0.3800808804405491,v1.1,0.0
20260801,401857105,CHI,LV,0.3406290953621381,0.3189396516858078,v1.1,1.0
20260801,401857106,PHX,NY,0.4243072419453355,0.5093346736739048,v1.1,0.0
20260802,401857107,MIN,IND,0.6499395152825873,0.6769940978092711,v1.1,1.0
20260802,401857108,POR,LA,0.4250787048284809,0.5326216597835168,v1.1,0.0
20260802,401857109,DAL,CON,0.8335098779597527,0.7318433708728583,v1.1,1.0
20260802,401857110,GS,TOR,0.8079965129836996,0.7905411845437662,v1.1,1.0
20260803,401857111,ATL,LV,0.7191749515470078,0.5323928376621947,v1.1,0.0
20260803,401857112,NY,SEA,0.6358103872045909,0.7703003905953802,v1.1,1.0
20260803,401857113,CHI,PHX,0.5766011130559903,0.5229487126638009,v1.1,0.0
20260804,401857114,GS,TOR,0.8079965129836996,0.7905411845437662,v1.1,1.0
20260805,401857115,ATL,PHX,0.7365373191511625,0.7015742411979035,v1.1,1.0
20260805,401857116,NY,SEA,0.7526672077160808,0.7703003905953802,v1.1,1.0
20260805,401857117,WSH,DAL,0.4132013919693681,0.5858008082431343,v1.1,1.0
20260805,401857118,CHI,LA,0.6238165504484691,0.5608954655297814,v1.1,1.0
20260806,401857119,IND,LV,0.7514872485396505,0.5392412183046184,v1.1,0.0
20260806,401857120,MIN,LA,0.7584432112767441,0.8068830303987433,v1.1,0.0
20260806,401857121,POR,TOR,0.6404004958375585,0.6087444300472354,v1.1,1.0
20260807,401857122,CON,PHX,0.5193007968260916,0.4750353634943822,v1.1,1.0
20260807,401857123,WSH,ATL,0.5588701389131829,0.5126206021149025,v1.1,1.0
20260807,401857124,DAL,GS,0.4646608278353656,0.5100401362252276,v1.1,0.0
20260808,401857125,MIN,LV,0.7511068347883961,0.6345745629251085,v1.1,1.0
20260808,401857126,CHI,IND,0.542907636604451,0.3905279278606193,v1.1,0.0
20260808,401857127,POR,SEA,0.5599006545297668,0.6083751482645006,v1.1,1.0
20260809,401857128,NY,LV,0.6132903510814357,0.5238850372573304,v1.1,1.0
20260809,401857129,WSH,PHX,0.7848994285278234,0.6758973418166502,v1.1,1.0
20260809,401857130,MIN,DAL,0.7872146960324173,0.7614721734101522,v1.1,1.0
20260809,401857131,LA,GS,0.413976486547442,0.4185363108281823,v1.1,0.0
20260810,401857132,ATL,TOR,0.7457398460174739,0.7908740602478043,v1.1,1.0
20260810,401857133,SEA,CHI,0.52249526281876,0.5255180581289229,v1.1,1.0
20260811,401857134,IND,NY,0.551485334280931,0.5873033696257353,v1.1,1.0
20260811,401857135,LV,WSH,0.6821006926590364,0.6806442398827712,v1.1,1.0
20260811,401857136,LA,PHX,0.5379593371490731,0.4878171539039582,v1.1,0.0
20260812,401857137,DAL,TOR,0.6851625383534892,0.7376884040776365,v1.1,1.0
20260812,401857138,GS,CHI,0.7019089343481156,0.7902634357205945,v1.1,1.0
20260812,401857139,POR,MIN,0.3832515381641981,0.2797423870239088,v1.1,0.0
20260813,401857140,CON,ATL,0.4232156296509128,0.3680053239886264,v1.1,0.0
20260813,401857141,NY,LA,0.7055204450675439,0.721559855168785,v1.1,1.0
20260813,401857142,LV,WSH,0.5366567689541648,0.6932933688454108,v1.1,1.0
20260814,401857143,IND,DAL,0.667824117296347,0.6737926204656983,v1.1,1.0
20260814,401857144,SEA,POR,0.5244203405053203,0.5547851757807368,v1.1,0.0
20260815,401857145,CON,NY,0.355995876405682,0.3574874922465684,v1.1,0.0
20260815,401857146,WSH,LA,0.6675618255902332,0.6892540762662622,v1.1,1.0
20260815,401857147,LV,MIN,0.5191460490230784,0.5424945723804105,v1.1,0.0
20260816,401857148,SEA,CHI,0.5453045624986206,0.5393642785167434,v1.1,0.0
20260816,401857150,ATL,IND,0.5040858376222991,0.5695002521706497,v1.1,0.0
20260816,401857149,PHX,POR,0.5727405289439558,0.6566221942555878,v1.1,0.0
20260817,401857151,GS,DAL,0.7090006091679188,0.7069597742488933,v1.1,1.0
20260818,401857152,CON,LA,0.483302471584501,0.5168746031444711,v1.1,1.0
20260818,401857153,TOR,IND,0.2994940861943633,0.298587842437499,v1.1,0.0
20260818,401857154,CHI,NY,0.4572354634771728,0.3835340327362441,v1.1,1.0
20260818,401857155,LV,ATL,0.5751000672372215,0.6559711153681523,v1.1,0.0
20260819,401857156,WSH,TOR,0.7338770982297836,0.7779475305195034,v1.1,1.0
20260819,401857157,GS,MIN,0.6928717663365608,0.5026645123829651,v1.1,0.0
20260820,401857158,DAL,IND,0.5346347088058526,0.4497583693513425,v1.1,1.0
