date,game_id,season,home,away,p_home,p_home_binary,p_elo,model,result
2024-10-22,2024020092,2024,PHI,WSH,0.6071294625880687,0.6135575868083974,0.5103747047720736,v2-decomp-backfill,0.0
2024-10-22,2024020093,2024,FLA,MIN,0.5949769719601368,0.6148647937895388,0.6271611771512079,v2-decomp-backfill,0.0
2024-10-22,2024020094,2024,NJD,TBL,0.5466743246264606,0.5683404981488619,0.5211136864695161,v2-decomp-backfill,0.0
2024-10-22,2024020095,2024,BUF,DAL,0.4186870514216422,0.4229462046555605,0.4518736717235685,v2-decomp-backfill,1.0
2024-10-22,2024020096,2024,MTL,NYR,0.3253999553500317,0.3090748676088101,0.3887825950755358,v2-decomp-backfill,0.0
2024-10-22,2024020097,2024,CBJ,TOR,0.4827594710772371,0.4811904828749407,0.4281531133734132,v2-decomp-backfill,1.0
2024-10-22,2024020098,2024,NYI,DET,0.5893209532773085,0.5857494419204948,0.5612510886609052,v2-decomp-backfill,0.0
2024-10-22,2024020099,2024,STL,WPG,0.4734284708841078,0.4738367446091296,0.4988442150936232,v2-decomp-backfill,0.0
2024-10-22,2024020100,2024,CHI,VAN,0.3800972915318047,0.382395004247275,0.4087741212770102,v2-decomp-backfill,0.0
2024-10-22,2024020101,2024,NSH,BOS,0.604516297153678,0.6055873379671765,0.4930859738387285,v2-decomp-backfill,1.0
2024-10-22,2024020102,2024,CGY,PIT,0.5952974901937046,0.5817681981318916,0.5627532892767253,v2-decomp-backfill,1.0
2024-10-22,2024020103,2024,EDM,CAR,0.4467137281922271,0.4538296802356497,0.5299054863324258,v2-decomp-backfill,0.0
2024-10-22,2024020104,2024,UTA,OTT,0.4576623797554271,0.4651338312758046,0.535806288757742,v2-decomp-backfill,0.0
2024-10-22,2024020105,2024,ANA,SJS,0.6296123043030435,0.6333802722623745,0.6042697428345849,v2-decomp-backfill,1.0
2024-10-22,2024020106,2024,SEA,COL,0.3869012516683068,0.3741558624748796,0.4939295793274129,v2-decomp-backfill,0.0
2024-10-22,2024020107,2024,VGK,LAK,0.4891661985471856,0.4803958331348224,0.5678600456770091,v2-decomp-backfill,1.0
2024-10-23,2024020108,2024,WSH,PHI,0.570533036732419,0.555550899207934,0.6007173260622517,v2-decomp-backfill,1.0
2024-10-24,2024020109,2024,BOS,DAL,0.5066270986449021,0.5169154085303701,0.522373814165011,v2-decomp-backfill,0.0
2024-10-24,2024020110,2024,TOR,STL,0.5908347280132694,0.6138437252850996,0.5841619273693006,v2-decomp-backfill,0.0
2024-10-24,2024020111,2024,DET,NJD,0.5211587965549103,0.4938400789680472,0.5445832813645657,v2-decomp-backfill,1.0
2024-10-24,2024020112,2024,TBL,MIN,0.5412901400376162,0.5797974237045413,0.5686857040320454,v2-decomp-backfill,0.0
2024-10-24,2024020113,2024,NYR,FLA,0.5549839140176296,0.5541918374265083,0.5637755764413965,v2-decomp-backfill,0.0
2024-10-24,2024020114,2024,CGY,CAR,0.3767626480509483,0.3803044505216625,0.4797518720195018,v2-decomp-backfill,0.0
2024-10-24,2024020115,2024,UTA,COL,0.3800471082935974,0.3707453700347327,0.4650697119729838,v2-decomp-backfill,0.0
2024-10-24,2024020116,2024,SEA,WPG,0.4688672125996149,0.4676412145017539,0.4620555934697893,v2-decomp-backfill,0.0
