date,gamePk,home,away,p_home,p_home_elo,model,h5,a5,result
20260410,822997,TB,NYY,0.5630696005711241,0.46458810492256,v2-backfill,3.0,2.0,1.0
20260410,823076,STL,BOS,0.4536881711849508,0.5041835294248721,v2-backfill,3.0,2.0,1.0
20260410,823156,SEA,HOU,0.555375066433052,0.5400200939301629,v2-backfill,5.0,3.0,1.0
20260410,823318,SD,COL,0.6142029745390192,0.5904055738393856,v2-backfill,2.0,0.0,1.0
20260410,823482,PHI,AZ,0.619701406443389,0.5166584515566675,v2-backfill,4.0,5.0,0.0
20260410,823643,NYM,ATH,0.5956408244724161,0.5576780963797457,v2-backfill,0.0,1.0,0.0
20260410,823808,MIL,WSH,0.6705833353354415,0.5902654071959271,v2-backfill,3.0,2.0,1.0
20260410,823968,LAD,TEX,0.626474726066791,0.5338204167016821,v2-backfill,3.0,4.0,0.0
20260410,824128,KC,CWS,0.5764824969525624,0.5252234981523054,v2-backfill,1.0,0.0,1.0
20260410,824297,DET,MIA,0.5524333946621115,0.5454345620000964,v2-backfill,2.0,0.0,1.0
20260410,824534,CIN,LAA,0.6250574726214261,0.5480964904465232,v2-backfill,1.0,4.0,0.0
20260410,824858,BAL,SF,0.4765551131487545,0.5144156787882967,v2-backfill,1.0,3.0,0.0
20260410,824941,ATL,CLE,0.5492800811165856,0.525722574838796,v2-backfill,1.0,2.0,0.0
20260411,822830,TOR,MIN,0.5061927372681393,0.523684240946486,v2-backfill,2.0,7.0,0.0
20260411,823074,STL,BOS,0.4616736841351255,0.509890634758509,v2-backfill,0.0,2.0,0.0
20260411,823316,SD,COL,0.6040651053315498,0.5949591372973783,v2-backfill,6.0,4.0,1.0
20260411,823480,PHI,AZ,0.4763817740134805,0.5107147285404047,v2-backfill,4.0,2.0,1.0
20260411,823644,NYM,ATH,0.628099714140191,0.551333979243529,v2-backfill,3.0,7.0,0.0
20260411,823805,MIL,WSH,0.6614395749575188,0.594821015214319,v2-backfill,0.0,2.0,0.0
20260411,823967,LAD,TEX,0.5510573751972083,0.5276979189382396,v2-backfill,5.0,1.0,1.0
20260411,824129,KC,CWS,0.6229136875502598,0.5306724319223818,v2-backfill,1.0,0.0,1.0
20260411,824294,DET,MIA,0.5914888162135223,0.550619606104508,v2-backfill,5.0,1.0,1.0
20260411,824535,CIN,LAA,0.6036640292762111,0.541837419027098,v2-backfill,5.0,3.0,1.0
20260411,824697,CHC,PIT,0.5614378995102918,0.5592793590528272,v2-backfill,1.0,3.0,0.0
20260411,824857,BAL,SF,0.4522327234849444,0.5084964278014048,v2-backfill,4.0,2.0,1.0
20260411,824939,ATL,CLE,0.5021279479913878,0.5196825224210186,v2-backfill,0.0,1.0,0.0
20260412,822828,TOR,MIN,0.506525036041527,0.5176654852341137,v2-backfill,1.0,8.0,0.0
20260412,822998,TB,NYY,0.4457035100002012,0.4710622741207844,v2-backfill,3.0,0.0,1.0
20260412,823075,STL,BOS,0.5144536664735299,0.5040215055316691,v2-backfill,1.0,7.0,0.0
20260412,823154,SEA,HOU,0.6581025848471114,0.5447601809284965,v2-backfill,4.0,1.0,1.0
20260412,823317,SD,COL,0.7037225930894597,0.5994460680424053,v2-backfill,4.0,2.0,1.0
20260412,823479,PHI,AZ,0.5314384940957629,0.5163436494219485,v2-backfill,0.0,1.0,0.0
20260412,823642,NYM,ATH,0.6363568968970531,0.545045560762591,v2-backfill,0.0,1.0,0.0
20260412,823804,MIL,WSH,0.7015366701092517,0.5882023947676778,v2-backfill,3.0,2.0,1.0
20260412,823966,LAD,TEX,0.4291076776347133,0.5331153340747203,v2-backfill,1.0,2.0,0.0
20260412,824126,KC,CWS,0.5193934486143518,0.5360516559812266,v2-backfill,5.0,4.0,1.0
20260412,824293,DET,MIA,0.6437967079297371,0.5557347211124829,v2-backfill,4.0,0.0,1.0
20260412,824533,CIN,LAA,0.5541288527981072,0.5470704658067964,v2-backfill,0.0,7.0,0.0
20260412,824696,CHC,PIT,0.5591143968285099,0.5529215688067162,v2-backfill,3.0,6.0,0.0
20260412,824859,BAL,SF,0.5346659878055021,0.5141521086991329,v2-backfill,4.0,1.0,1.0
20260412,824938,ATL,CLE,0.6078178088405852,0.5137061977867773,v2-backfill,9.0,0.0,1.0
20260413,823073,STL,CLE,0.4754743102176514,0.5031013861645589,v2-backfill,1.0,4.0,0.0
20260413,823153,SEA,HOU,0.6129337111478381,0.549954256827431,v2-backfill,6.0,2.0,1.0
20260413,823400,PIT,WSH,0.7491863405480094,0.5657277249135438,v2-backfill,5.0,1.0,1.0
20260413,823481,PHI,CHC,0.6392496238758344,0.5033701380211553,v2-backfill,9.0,2.0,1.0
20260413,823563,NYY,LAA,0.6092847518237251,0.5986916289694367,v2-backfill,7.0,4.0,1.0
20260413,823725,MIN,BOS,0.4379861318017607,0.527345744985861,v2-backfill,13.0,3.0,1.0
20260413,823964,LAD,NYM,0.4819755337411093,0.5395344540314507,v2-backfill,4.0,0.0,1.0
20260413,824856,BAL,AZ,0.5010796749696792,0.4867935153927908,v2-backfill,1.0,4.0,0.0
20260413,824937,ATL,MIA,0.5385228164702807,0.5449190334777132,v2-backfill,4.0,6.0,0.0
20260413,825024,ATH,TEX,0.4537344718895211,0.4916902895816845,v2-backfill,0.0,4.0,0.0
20260414,823315,SD,SEA,0.4723568060175468,0.5154225873168918,v2-backfill,3.0,1.0,1.0
20260414,823398,PIT,WSH,0.6027615689402446,0.5706344576120426,v2-backfill,4.0,5.0,0.0
20260414,823562,NYY,LAA,0.629168644342094,0.6031236475843085,v2-backfill,0.0,4.0,0.0
20260414,823723,MIN,BOS,0.4666725319508969,0.5327676600950874,v2-backfill,5.0,0.0,1.0
20260414,823802,MIL,TOR,0.5383054849617652,0.5640335071875345,v2-backfill,3.0,1.0,1.0
20260414,824210,HOU,COL,0.5750834059223288,0.5772212107286712,v2-backfill,7.0,5.0,1.0
20260414,824292,DET,KC,0.4916413551448009,0.528128461885741,v2-backfill,0.0,1.0,0.0
20260414,824531,CIN,SF,0.533053907829629,0.5183582542083097,v2-backfill,2.0,1.0,1.0
20260414,824616,CWS,TB,0.4480769075823262,0.496500264036436,v2-backfill,3.0,4.0,0.0
20260414,824853,BAL,AZ,0.5426303857154866,0.4811948998093848,v2-backfill,2.0,4.0,0.0
20260414,824935,ATL,MIA,0.5922035845682737,0.5386893595333484,v2-backfill,3.0,4.0,0.0
20260414,825022,ATH,TEX,0.4517642086692316,0.4860323657901542,v2-backfill,2.0,1.0,1.0
20260415,823314,SD,SEA,0.5307766264054098,0.5209940343425646,v2-backfill,0.0,6.0,0.0
20260415,823399,PIT,WSH,0.6600536068316886,0.5641842944794063,v2-backfill,2.0,0.0,1.0
20260415,823477,PHI,CHC,0.6006928384024939,0.50898226895154,v2-backfill,1.0,5.0,0.0
20260415,823561,NYY,LAA,0.6458740864163315,0.5964566341032823,v2-backfill,3.0,4.0,0.0
20260415,823722,MIN,BOS,0.5453081672547739,0.5381197880993487,v2-backfill,1.0,7.0,0.0
20260415,823803,MIL,TOR,0.5346602932307483,0.5689639312349928,v2-backfill,0.0,1.0,0.0
20260415,823963,LAD,NYM,0.6512269041728674,0.5442863434756366,v2-backfill,2.0,1.0,1.0
20260415,824209,HOU,COL,0.7178906241972774,0.5819652490631582,v2-backfill,3.0,1.0,1.0
20260415,824532,CIN,SF,0.4958895405343453,0.5238934035560506,v2-backfill,8.0,2.0,1.0
20260415,824615,CWS,TB,0.5826200562018415,0.4907850798707317,v2-backfill,0.0,3.0,0.0
20260415,824855,BAL,AZ,0.5894065617578513,0.4756653057787461,v2-backfill,4.0,3.0,1.0
20260415,824936,ATL,MIA,0.5881944867851595,0.5325189968945646,v2-backfill,2.0,0.0,1.0
20260416,823313,SD,SEA,0.4508416642888183,0.5150037136264148,v2-backfill,4.0,0.0,1.0
20260416,823560,NYY,LAA,0.705749058071837,0.5898280856193703,v2-backfill,3.0,2.0,1.0
20260416,824208,HOU,COL,0.6711386703790603,0.5866411938106117,v2-backfill,2.0,3.0,0.0
20260416,824289,DET,KC,0.5194021152061665,0.5218100242428524,v2-backfill,6.0,1.0,1.0
20260416,824453,CLE,BAL,0.5375332163516378,0.527810023708012,v2-backfill,3.0,0.0,1.0
20260416,825023,ATH,TEX,0.4672022382182502,0.4920393915979112,v2-backfill,3.0,2.0,1.0
20260417,822752,WSH,SF,0.4260158945797149,0.4959071334912696,v2-backfill,3.0,8.0,0.0
20260417,823152,SEA,TEX,0.5492829913124281,0.5137694707281182,v2-backfill,0.0,2.0,0.0
20260417,823397,PIT,TB,0.5045469362147634,0.5207238643051302,v2-backfill,1.0,0.0,1.0
20260417,823476,PHI,ATL,0.5303058351518742,0.5499033210509605,v2-backfill,0.0,7.0,0.0
20260417,823559,NYY,KC,0.6489749708206117,0.5681952751433639,v2-backfill,2.0,0.0,1.0
20260417,823720,MIN,CIN,0.6754625841909196,0.5313985702338828,v2-backfill,1.0,2.0,0.0
20260417,823883,MIA,MIL,0.5380733627985554,0.4570374964345978,v2-backfill,1.0,3.0,0.0
20260417,824048,LAA,SD,0.5939900592812039,0.4847162926279945,v2-backfill,8.0,0.0,1.0
20260417,824207,HOU,STL,0.5120940247621251,0.531786853039477,v2-backfill,3.0,4.0,0.0
20260417,824373,COL,LAD,0.2935812196032272,0.4122813663459381,v2-backfill,1.0,7.0,0.0
20260417,824693,CHC,NYM,0.5418220849713243,0.5506652213494987,v2-backfill,7.0,3.0,1.0
20260417,825019,ATH,CWS,0.5195063128219494,0.5424364218357686,v2-backfill,1.0,5.0,0.0
20260417,825101,AZ,TOR,0.5898679652399559,0.5559480615166976,v2-backfill,3.0,1.0,1.0
20260418,822751,WSH,SF,0.4843249617851119,0.4901989558196476,v2-backfill,5.0,3.0,1.0
